srcip,dstip,sport,dport,proto,data
10.203.143.73,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'\xe8\x83\xa1\xe5\xa9\x89\xe6\xb8\x85\xe7\x9a\x84iPad._companion-link._tcp.local.'"" "
10.203.161.96,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'\xe5\x94\x90\xe5\xa4\xaa\xe5\xae\x97\xe9\x92\xa6\xe8\xb5\x90\xe7\x8e\x84\xe9\xbb\x91\xe9\x95\x80\xe9\x93\xb6\xe5\xbd\xa9\xe5\x85\x89\xe6\x96\xb9\xe6\xad\xa3\xe5\xa4\xa7\xe7\x9b\x98._companion-link._tcp.local.'"" "
10.203.201.85,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'syh\xe7\x9a\x84ipad._companion-link._tcp.local.'"" "
10.203.208.18,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'iPad (48)._companion-link._tcp.local.'"" "
10.203.225.234,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'model=J217AP']"" "
10.203.245.146,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_companion-link._tcp.local.'"" "
10.203.140.216,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'\xe4\xbd\x99\xe5\xaa\x9b\xe7\x9a\x84iPad._companion-link._tcp.local.'"" "
10.203.213.36,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'iPad (188)._companion-link._tcp.local.'"" "
10.203.151.90,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'\xe6\xb1\xaa\xe6\x9d\xb0\xe7\x9a\x84MacBook Air._companion-link._tcp.local.'"" "
10.203.222.175,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'\xe7\xa8\x8b\xe7\x8e\xa5\xe7\x9a\x84MacBook Pro._companion-link._tcp.local.'"" "
10.203.252.208,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'iPhone-2.local.'"" "
10.203.142.152,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""[b'rpBA=A0:F2:E3:C8:E8:DC', b'rpAD=6ac1cc6adfa4', b'rpFl=0x10040', b'rpHN=da4907824048', b'rpMac=0', b'rpVr=610.71.1']"" "
10.203.237.68,239.255.255.250,2200,2200,17,"Ether / IP / UDP 10.203.237.68:2200 > 239.255.255.250:2200 / Raw"
0,0,0,0,0,"Ether / IPv6 / UDP fe80::90f7:f1ff:fe85:8742:47565 > ff05::c:ssdp / Raw"
10.203.162.17,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'Prosper\xe2\x80\x99s iPad Pro \xe2\x98\xbe._companion-link._tcp.local.'"" "
10.203.243.253,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_companion-link._tcp.local.'"" "
10.203.243.253,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry "
10.203.243.253,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry "
10.203.180.250,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'iPad (33)._companion-link._tcp.local.'"" "
10.203.252.208,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Qry ""b'_companion-link._tcp.local.'"" "
10.203.159.28,224.0.0.251,5353,5353,17,"Ether / IP / UDP / DNS Ans ""b'iPad (150)._companion-link._tcp.local.'"" "
